"","yq","pr","ln.cv","ll","ul","yr","qtr"
"1",1998.125,1.55621017563143,0.0617145647264436,1.37890946510317,1.75630827986056,"1998","0.125"
"2",1998.375,1.979187477275,0.0589587990992815,1.76319437409621,2.22163995515812,"1998","0.375"
"3",1998.625,2.20979228071411,0.0703854247309187,1.92503295680729,2.53667445361691,"1998","0.625"
"4",1998.875,1.00875603999706,0.0626497873179919,0.892190454701542,1.14055103690945,"1998","0.875"
"5",1999.125,0.669608527541333,0.060514346118659,0.594716687079505,0.753931392707216,"1999","0.125"
"6",1999.375,1.43714171110287,0.0609552050963589,1.27530327897019,1.61951775067925,"1999","0.375"
"7",1999.625,0.922142629934002,0.06228851360027,0.816163270361306,1.04188348192287,"1999","0.625"
"8",1999.875,0.856705450129619,0.0636250770638344,0.756262856609652,0.970488265908082,"1999","0.875"
"9",2000.125,1.03483443221276,0.0575905027661233,0.9243763913147,1.15849161894975,"2000","0.125"
"10",2000.375,1.63784491135524,0.0529209497158395,1.47647315096436,1.81685386686521,"2000","0.375"
"11",2000.625,1.2398504958647,0.0501787019577121,1.12371543606747,1.36798801792347,"2000","0.625"
"12",2000.875,0.905026921085492,0.0589985767573127,0.806196476257362,1.01597284534398,"2000","0.875"
"13",2001.125,1.22316165127399,0.0536412666900738,1.10109169899459,1.35876460290586,"2001","0.125"
"14",2001.375,1.59910041194516,0.0471827585430627,1.45785039976294,1.75403602996507,"2001","0.375"
"15",2001.625,1.94822638040253,0.0584507076668407,1.7373414163865,2.18470934584105,"2001","0.625"
"16",2001.875,0.774609605279274,0.0570036864235171,0.69272420120924,0.866174502844711,"2001","0.875"
"17",2002.125,0.757853408452322,0.0532296670318238,0.682771211091812,0.841192158328378,"2002","0.125"
"18",2002.375,1.08510914956089,0.0599984401338135,0.964720977388112,1.22052064178041,"2002","0.375"
"19",2002.625,1.88467977788452,0.0591725486809848,1.67829724023227,2.11644146222588,"2002","0.625"
"20",2002.875,0.642367799643007,0.0666979382872185,0.563649766510313,0.732079412669548,"2002","0.875"
"21",2003.125,0.65650389690501,0.0661742527780518,0.576645154711803,0.747422159242574,"2003","0.125"
"22",2003.375,0.914630662837548,0.0644401367186773,0.806107951698067,1.03776330160304,"2003","0.375"
"23",2003.625,1.42686563581822,0.061757805363762,1.26419414169924,1.61046905338634,"2003","0.625"
"24",2003.875,0.267014150963486,0.0698293579944338,0.23285969741751,0.306178173404216,"2003","0.875"
"25",2004.125,0.546489439893728,0.114516911754484,0.43661938246488,0.68400698619783,"2004","0.125"
