"","yq","pr","cv","ll","ul","yr","qtr"
"1",1998.125,1.5355333512085,0.0546281657183288,1.37961789886868,1.70906935507804,"1998","0.125"
"2",1998.375,1.89649705135815,0.0514901214527769,1.71444238758979,2.09788389032221,"1998","0.375"
"3",1998.625,2.47980993616319,0.0602229867464981,2.20371564345943,2.79049492512572,"1998","0.625"
"4",1998.875,0.922679017099562,0.0530500107654083,0.831559948181786,1.02378255525326,"1998","0.875"
"5",1999.125,0.92624069805284,0.0561785411932589,0.829666815619701,1.03405585781879,"1999","0.125"
"6",1999.375,1.08933099516337,0.0512363112989344,0.985250428254373,1.20440649706294,"1999","0.375"
"7",1999.625,0.992277276977842,0.0526950949609972,0.894907351632357,1.10024148601592,"1999","0.625"
"8",1999.875,0.945722486611337,0.0548775550773575,0.849280196885327,1.05311653911447,"1999","0.875"
"9",2000.125,1.02424070598784,0.047984026515583,0.932303262257839,1.12524439876124,"2000","0.125"
"10",2000.375,1.76186211792998,0.0491444381678327,1.60007127076518,1.94001241026737,"2000","0.375"
"11",2000.625,1.44579673033027,0.0457204287642706,1.32187145269483,1.58133998670767,"2000","0.625"
"12",2000.875,1.34201171493949,0.0527891142652207,1.21010012487361,1.48830283215031,"2000","0.875"
"13",2001.125,1.4181528468898,0.0476855414288967,1.29161264698379,1.55709027922432,"2001","0.125"
"14",2001.375,2.06952499839187,0.0440089233256356,1.89849529393052,2.25596225213799,"2001","0.375"
"15",2001.625,1.93409452116293,0.0488704284828983,1.75743125622487,2.12851660828423,"2001","0.625"
"16",2001.875,0.938166836753679,0.0498255273725323,0.850878856272004,1.03440931349579,"2001","0.875"
"17",2002.125,0.926390349295729,0.0476725996756894,0.843750971820409,1.01712366317835,"2002","0.125"
"18",2002.375,1.33014267671339,0.0488977709266847,1.20858056132733,1.46393181971349,"2002","0.375"
"19",2002.625,2.01477776188423,0.0496194655511742,1.82805899404896,2.22056806864435,"2002","0.625"
"20",2002.875,0.837661697138046,0.0522462435423016,0.756128759843172,0.927986285031302,"2002","0.875"
"21",2003.125,0.661861941978866,0.0454499756121039,0.60545184779279,0.723527778199064,"2003","0.125"
"22",2003.375,1.28385285474262,0.0531596141626842,1.15681756430141,1.42483845637853,"2003","0.375"
"23",2003.625,1.78466606608184,0.0514788958546694,1.61338214058235,1.97413426571983,"2003","0.625"
"24",2003.875,0.453006242676863,0.0495657384704639,0.411067345496847,0.499223930463683,"2003","0.875"
"25",2004.125,0.503357377087431,0.0552998957926486,0.451652289735081,0.560981655195312,"2004","0.125"
"26",2004.375,0.900961534292387,0.0647643777373099,0.793556216805354,1.02290382090674,"2004","0.375"
"27",2004.625,0.672036963330056,0.079824290491882,0.574705499381237,0.785852372333551,"2004","0.625"
"28",2004.875,0.631374973260897,0.0705317041381207,0.549856754712285,0.724978557495007,"2004","0.875"
"29",2005.125,1.25421336886894,0.0666555292367432,1.10060908593339,1.42925512314439,"2005","0.125"
"30",2005.375,0.943559595140289,0.0748376481994048,0.814828560781373,1.09262825633843,"2005","0.375"
"31",2005.625,1.11404376063574,0.0746121814995793,0.962478594480973,1.28947647015538,"2005","0.625"
"32",2005.875,1.06296484282054,0.053813131279042,0.956560049100897,1.18120577807376,"2005","0.875"
"33",2006.125,0.809512307489844,0.049016045645219,0.735360258945396,0.891141679205418,"2006","0.125"
"34",2006.375,1.11207706758607,0.0666676551419935,0.975857111666143,1.2673119757659,"2006","0.375"
"35",2006.625,0.884821337420185,0.0694348334520131,0.772238524945887,1.01381732957302,"2006","0.625"
"36",2006.875,0.850572443260448,0.0459448814299754,0.777324284498788,0.930722860023005,"2006","0.875"
"37",2007.125,0.762676134433206,0.0541451958019802,0.685884258437437,0.848065659589759,"2007","0.125"
"38",2007.375,0.839422385939197,0.0633965878153081,0.741338033920797,0.950484002944243,"2007","0.375"
"39",2007.625,1.18730058662742,0.060388501746661,1.05476801563084,1.33648599703007,"2007","0.625"
"40",2007.875,0.76421270725094,0.0455784475187558,0.698903309599298,0.835624976877913,"2007","0.875"
"41",2008.125,0.67029510772393,0.0669433119720834,0.58787196831895,0.764274460514623,"2008","0.125"
"42",2008.375,1.64486198518195,0.0741153246178009,1.4224638089919,1.90203148452272,"2008","0.375"
"43",2008.625,1.65080195255091,0.0751786602403839,1.4246284282522,1.91288270857352,"2008","0.625"
"44",2008.875,0.899443705773928,0.0705672226607285,0.783260010998314,1.03286133403545,"2008","0.875"
"45",2009.125,0.78684809062295,0.0531637008055129,0.708984988022861,0.873262379565388,"2009","0.125"
"46",2009.375,1.05375729012205,0.067063113936521,0.923964567681919,1.20178247664972,"2009","0.375"
"47",2009.625,0.620215472804106,0.0797429682599147,0.530473888689692,0.725138863395852,"2009","0.625"
